date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:07	23560/23560	---MCZ	200	added ('OK')	text/html	etag:W/%225f58db22-5c08%22	https://docs.webmethods.io/	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/index.html	(from )
11:56:07	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2014%20Sep%202020%2017:14:46%20GMT	https://docs.webmethods.io/robots.txt		(from )
11:56:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2015%20Sep%202020%2006:26:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/www.googletagmanager.com/gtm.15445.delayed	(from https://docs.webmethods.io/)
11:56:09	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%225f58db22-1d9ac%22	https://docs.webmethods.io/static/css/bootstrap.min.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/static/css/bootstrap.min.css	(from https://docs.webmethods.io/)
11:56:10	27466/27466	---MCZ	200	added ('OK')	text/css	etag:W/%225f58db22-6b4a%22	https://docs.webmethods.io/static/css/font-awesome.min.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/static/css/font-awesome.min.css	(from https://docs.webmethods.io/)
11:56:11	35359/35359	---MCZ	200	added ('OK')	text/css	etag:W/%22265a36ec650d63e307e611cdf14d9b89%22	https://use.fontawesome.com/releases/v5.0.8/css/all.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/use.fontawesome.com/releases/v5.0.8/css/all.css	(from https://docs.webmethods.io/)
11:56:12	7373/7373	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2006:26:12%20GMT	https://use.typekit.net/uzy2tfr.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/use.typekit.net/uzy2tfr.css	(from https://docs.webmethods.io/)
11:56:12	2228/2228	---MCZ	200	added ('OK')	text/css	etag:W/%225f58db22-8b4%22	https://docs.webmethods.io/static/css/roboto.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/static/css/roboto.css	(from https://docs.webmethods.io/)
11:56:13	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225f58db22-47e%22	https://docs.webmethods.io/favicon.ico	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/favicon.ico	(from https://docs.webmethods.io/)
11:56:13	1961/1961	---MCZ	200	added ('OK')	text/css	etag:W/%225f58db22-7a9%22	https://docs.webmethods.io/static/css/home-footer.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/DocsLandingPage/docs.webmethods.io/static/css/home-footer.css	(from https://docs.webmethods.io/)
