date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:07	104589/104589	---M--	200	added ('OK')	text/html	etag:%2204cf3d2fdb460c1b8ea76e399fbdce59%22	https://www.softwareag.cloud/site/product/webmethods-io-integration.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/webmethods-io-integration.html	(from )
17:50:09	168/168	---M--	200	added ('OK')	text/plain	date:Fri,%2031%20Jul%202020%2007:55:19%20GMT	https://www.softwareag.cloud/robots.txt		(from )
17:50:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2015%20Sep%202020%2012:20:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.googletagmanager.com/gtm.25445.delayed	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:11	386360/386360	---M--	200	added ('OK')	text/css	etag:%223573f24bea16acdc4ef3b78edd367c63%22	https://www.softwareag.cloud/site/style.1eafeabd414559e3feddaad415a8fb7c9ec1ab51_250.css	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/style.1eafeabd414559e3feddaad415a8fb7c9ec1ab51_250.css	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:11	1838/1838	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ec18ac-72e-5ae48c2add684%22	https://info.softwareag.com/rs/858-DJP-749/images/marketo.form.custom.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/info.softwareag.com/rs/858-DJP-749/images/marketo.form.custom.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:13	106992/106992	---M--	200	added ('OK')	text/html	etag:%224f02f1df6132d05f6f8cc8768520bc1b%22	https://www.softwareag.cloud/site/product/alfabet.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/alfabet.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:14	110521/110521	---M--	200	added ('OK')	text/html	etag:%22f9261ad33a85419f003b78d0c4a12a5e%22	https://www.softwareag.cloud/site/product/aris.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/aris.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:15	113258/113258	---M--	200	added ('OK')	text/html	etag:%223b35def444cb9f64f61955a88fff881e%22	https://www.softwareag.cloud/site/product/cumulocity-iot.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/cumulocity-iot.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:16	103086/103086	---M--	200	added ('OK')	text/html	etag:%22ed000364ee76457d26a5f4258191941b%22	https://www.softwareag.cloud/site/product/webmethods-agile-apps.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/webmethods-agile-apps.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:17	103265/103265	---M--	200	added ('OK')	text/html	etag:%22db891763aefeedf385e103ba6cdbc1af%22	https://www.softwareag.cloud/site/product/webmethods-api.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/webmethods-api.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:18	103496/103496	---M--	200	added ('OK')	text/html	etag:%2288248bb4f8bcee85a567dec29abf794d%22	https://www.softwareag.cloud/site/product/webmethods-b2b.html	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/product/webmethods-b2b.html	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:19	88145/88145	---M--	200	added ('OK')	application/javascript	etag:%22220afd743d9e9643852e31a135a9f3ae%22	https://www.softwareag.cloud/site/js/vendor/jquery.min.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/vendor/jquery.min.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:20	5359/5359	---M--	200	added ('OK')	application/javascript	etag:%22d64d9a66f39f6755d93ac2c3710a2b96%22	https://www.softwareag.cloud/site/js/vendor/headroom.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/vendor/headroom.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:20	78635/78635	---M--	200	added ('OK')	application/javascript	etag:%22a454220fc07088bf1fdd19313b6bfd50%22	https://www.softwareag.cloud/site/js/vendor/bootstrap.bundle.min.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/vendor/bootstrap.bundle.min.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:21	33170/33170	---M--	200	added ('OK')	application/javascript	etag:%229ec2d891f9edc87fcd615717b2833d79%22	https://www.softwareag.cloud/site/js/vendor/jquery.iosslider.min.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/vendor/jquery.iosslider.min.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:21	14340/14340	---M--	200	added ('OK')	application/javascript	etag:%22044e1fc6029e6bac615c976c9f16a68e%22	https://www.softwareag.cloud/site/js/vendor/aos.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/vendor/aos.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:22	14294/14294	---M--	200	added ('OK')	application/javascript	etag:%22e17b2d7df02a903f434b9fe49796c417%22	https://www.softwareag.cloud/site/js/main.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/main.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:23	4137/4137	---M--	200	added ('OK')	application/javascript	etag:%2276893f9a5f1e22b35d9b7a463dde81e6%22	https://www.softwareag.cloud/site/js/config.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/js/config.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:24	976/976	---M--	200	added ('OK')	application/javascript	date:Sun,%2013%20Sep%202020%2005:48:04%20GMT	https://www.softwareag.cloud/content/js/loadapp.js	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/content/js/loadapp.js	(from https://www.softwareag.cloud/site/product/webmethods-io-integration.html)
17:50:31	65076/65076	---M--	200	added ('OK')	font/woff2	etag:%2276cdb77afe03f8f9e5f329789b6cb9bd%22	https://www.softwareag.cloud/site/fonts/avenir-next-bold.woff2	C:/Users/nlas/Desktop/Workspace/doc-landing-page/MainPage/www.softwareag.cloud/site/fonts/avenir-next-bold.woff2	(from https://www.softwareag.cloud/site/style.1eafeabd414559e3feddaad415a8fb7c9ec1ab51_250.css)
